レースID,区分,月日時分,頭数,単勝票数,複勝票数,1単,1複Lo,1複Hi,2単,2複Lo,2複Hi,3単,3複Lo,3複Hi,4単,4複Lo,4複Hi,5単,5複Lo,5複Hi,6単,6複Lo,6複Hi,7単,7複Lo,7複Hi,8単,8複Lo,8複Hi,9単,9複Lo,9複Hi,10単,10複Lo,10複Hi,11単,11複Lo,11複Hi,12単,12複Lo,12複Hi,13単,13複Lo,13複Hi,14単,14複Lo,14複Hi,15単,15複Lo,15複Hi,16単,16複Lo,16複Hi
2025120607050101,1,12051831,16,          1,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   1.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2025120607050101,1,12051836,16,         33,         29,   0.0,   0.0,   0.0,   2.6,   1.8,  11.6,  26.4,   3.2,  23.2,   5.2,   0.0,   0.0,   0.0,   0.0,   0.0,   5.2,   3.2,  23.2,   0.0,   1.8,  11.6,   0.0,   3.2,  23.2,   0.0,   0.0,   0.0,   0.0,   1.8,  11.6,   3.3,   1.1,   1.4,   0.0,   0.0,   0.0,  13.2,   1.5,   7.7,  26.4,   0.0,   0.0,   0.0,   0.0,   0.0,  26.4,   3.2,  23.2
2025120607050101,1,12051841,16,         56,        282,   0.0,   0.0,   0.0,   4.4,   1.0,   1.1,  44.8,  13.3, 225.6,   5.6,   6.9, 112.8,   0.0,  13.3, 225.6,   8.9,  13.3, 225.6,   0.0,   6.9, 112.8,   2.2,   1.0,   7.2,   0.0,  13.3, 225.6,   0.0,   3.7,  56.4,   5.6,   1.0,   8.3,   0.0,   0.0,   0.0,  22.4,   3.0,  45.1,  44.8,  13.3, 225.6,   0.0,   0.0,   0.0,  44.8,   4.8,  75.2
2025120607050101,1,12051846,16,         69,        307,   0.0,   0.0,   0.0,   5.5,   1.1,   1.1,  55.2,   9.8,  61.6,   6.9,   4.2,  24.8,   0.0,  19.2, 122.8,  11.0,   2.6,  14.0,   7.8,   5.2,  31.0,   2.7,   1.1,   4.1,   0.0,  19.2, 122.8,   0.0,   5.2,  31.0,   6.9,   1.2,   4.7,   0.0,   9.8,  61.6,  27.6,   4.2,  24.8,  55.2,   5.2,  31.0,   0.0,   9.8,  61.6,   7.8,   6.7,  41.2
2025120607050101,1,12051851,16,        132,        461, 105.6,  41.3, 122.1,   8.1,   1.1,   1.1,  52.8,  14.1,  41.2,  13.2,   8.6,  24.9,  52.8,  14.1,  41.2,  21.1,   3.4,   9.2,  15.0,  10.7,  31.0,   5.2,   1.7,   4.2,   2.1,   1.1,   1.7, 105.6,   8.6,  24.9,  11.7,   1.9,   4.7,   0.0,  20.9,  61.4,  52.8,   8.6,  24.9, 105.6,  10.7,  31.0,  52.8,   4.6,  12.7,  11.7,   1.6,   4.0
2025120607050101,1,12051856,16,        188,        485,  21.4,   4.8,  12.1,  10.7,   1.1,   1.1,  75.2,  16.1,  43.0,  18.8,   9.9,  26.0,  18.8,   4.1,  10.3,  15.0,   3.8,   9.6,   8.8,  12.2,  32.4,   6.8,   1.8,   4.1,   2.3,   1.1,   1.7, 150.4,   9.9,  26.0,   7.1,   2.1,   4.9, 150.4,  16.1,  43.0,  75.2,   9.9,  26.0, 150.4,  12.2,  32.4,  75.2,   5.2,  13.3,  16.7,   1.8,   4.1
2025120607050101,1,12051901,16,        213,        602,   9.4,   1.3,   2.1,  10.6,   1.1,   1.3,  85.2,  26.5,  53.4,  21.3,  16.1,  32.3,  21.3,   6.5,  12.7,  15.4,   5.7,  11.1,   9.4,  11.6,  23.2,   7.4,   2.7,   4.9,   2.6,   1.3,   2.0,  85.2,  13.5,  27.0,   7.7,   2.5,   4.6, 170.4,  26.5,  53.4,  42.6,  13.5,  27.0,  42.6,  20.0,  40.2,  85.2,   8.3,  16.4,  17.0,   2.2,   4.0
2025120607050101,1,12051906,16,        224,        624,   9.9,   1.3,   2.1,  10.5,   1.1,   1.3,  59.7,  21.3,  41.6,  19.9,  17.1,  33.4,  22.4,   6.9,  13.1,  16.2,   5.7,  10.8,   9.4,  12.4,  24.0,   7.1,   2.7,   4.8,   2.8,   1.3,   2.1,  89.6,  14.4,  27.9,   7.1,   2.4,   4.3, 179.2,  28.2,  55.2,  44.8,  10.9,  21.1,  44.8,  21.3,  41.6,  89.6,   8.8,  16.9,  14.9,   2.0,   3.5
2025120607050101,1,12051911,16,        306,        729,  12.8,   1.4,   2.3,  12.2,   1.1,   1.4,  81.6,  24.5,  48.4,  10.2,  19.7,  38.9,  30.6,   7.9,  15.3,   8.4,   6.1,  11.8,   9.7,  14.2,  27.9,   9.0,   1.8,   3.2,   3.4,   1.2,   1.7,  61.2,  11.2,  21.8,   9.0,   2.6,   4.7, 122.4,  19.7,  38.9,  61.2,  12.5,  24.5,  48.9,  19.7,  38.9, 122.4,  10.1,  19.7,   6.9,   2.2,   4.0
2025120607050101,1,12051916,16,        319,        760,  13.4,   1.5,   2.4,  12.7,   1.1,   1.4,  85.0,  26.4,  50.5,  10.6,  21.2,  40.5,  31.9,   8.4,  15.9,   8.8,   6.6,  12.3,  10.2,  12.0,  22.7,   8.8,   1.7,   2.9,   3.4,   1.2,   1.8,  63.8,  10.8,  20.5,   7.7,   2.3,   4.0, 127.6,  21.2,  40.5,  51.0,  12.0,  22.7,  42.5,  17.7,  33.9,  85.0,   9.9,  18.7,   7.0,   2.4,   4.1
2025120607050101,1,12051921,16,        410,       1319,  16.4,   1.8,   3.8,  14.9,   1.2,   2.0,  82.0,  36.4,  87.4,  12.1,  10.0,  23.8,  32.8,  11.5,  27.3,   9.6,   8.9,  21.0,  13.1,  16.4,  39.3,   9.6,   2.2,   4.6,   3.4,   1.4,   2.7,  32.8,  14.8,  35.4,   6.8,   2.1,   4.4, 109.3,  24.4,  58.5,  12.6,  16.4,  39.3,  46.8,  16.4,  39.3,  82.0,  13.5,  32.2,   8.0,   1.1,   1.1
2025120607050101,1,12051926,16,        444,       1422,  16.9,   2.0,   4.0,  13.6,   1.2,   2.0,  71.0,  27.7,  63.0,  13.1,  11.4,  25.6,  35.5,  13.1,  29.4,  10.1,  10.1,  22.6,  14.2,  18.6,  42.3,  10.1,   2.4,   5.0,   3.5,   1.3,   2.3,  22.2,   8.7,  19.3,   5.9,   2.1,   4.2, 118.4,  27.7,  63.0,  13.6,  18.6,  42.3,  50.7,  13.1,  29.4,  88.8,  15.3,  34.7,   8.0,   1.1,   1.2
2025120607050101,1,12051931,16,        494,       1463,  18.8,   2.1,   4.1,  14.6,   1.2,   2.0,  79.0,  29.1,  64.8,  10.6,   5.4,  11.5,  39.5,  13.7,  30.2,  11.2,   9.1,  19.8,  15.2,  19.6,  43.5,  10.9,   2.4,   4.7,   3.9,   1.3,   2.4,  23.2,   9.1,  19.8,   5.3,   2.2,   4.3, 131.7,  29.1,  64.8,  10.9,  17.7,  39.2,  49.4,  13.7,  30.2,  98.8,  16.1,  35.7,   7.1,   1.1,   1.2
2025120607050101,1,12051936,16,        527,       1479,  18.3,   2.1,   4.1,  14.5,   1.2,   2.0,  84.3,  29.6,  65.6,  11.3,   5.5,  11.7,  35.1,  12.1,  26.6,   9.3,   8.8,  19.1,  16.2,  19.9,  44.0,  10.5,   2.4,   4.7,   4.1,   1.3,   2.4,  23.4,   9.2,  20.0,   5.3,   2.2,   4.3, 140.5,  29.6,  65.6,  11.0,  16.4,  36.0,  42.1,  12.1,  26.6, 105.4,  16.4,  36.0,   7.3,   1.1,   1.2
2025120607050101,1,12051941,16,        569,       1501,  17.5,   2.1,   4.1,   9.1,   1.2,   2.0,  91.0,  22.8,  50.0,  12.3,   5.6,  11.8,  35.0,  12.4,  26.9,  10.1,   8.6,  18.5,  12.6,  18.3,  40.1,  11.1,   2.4,   4.7,   4.4,   1.4,   2.4,  23.9,   9.0,  19.4,   5.6,   2.2,   4.3, 113.8,  30.2,  66.4,  11.9,  15.3,  33.5,  45.5,  11.6,  25.3,  91.0,  15.3,  33.5,   7.9,   1.1,   1.2
2025120607050101,1,12051946,16,        596,       1513,  18.3,   2.1,   4.1,   7.5,   1.2,   2.0,  95.3,  20.6,  44.8,  12.8,   5.6,  11.9,  36.6,  12.5,  27.1,  10.1,   8.3,  17.9,  13.2,  18.6,  40.4,  10.5,   2.4,   4.7,   4.5,   1.4,   2.4,  25.0,   7.4,  15.8,   5.8,   2.2,   4.3, 119.2,  30.6,  66.9,  12.5,  15.6,  33.8,  43.3,  11.8,  25.5,  95.3,  15.6,  33.8,   7.9,   1.1,   1.2
2025120607050101,1,12051951,16,        655,       1580,  20.1,   2.3,   4.3,   7.1,   1.3,   2.1, 104.8,  20.3,  42.1,  12.4,   6.0,  12.1,  37.4,  10.4,  21.3,  10.2,   6.0,  12.1,  14.1,  18.5,  38.4,   8.5,   2.4,   4.6,   4.6,   1.4,   2.5,  20.1,   6.1,  12.4,   6.0,   2.3,   4.3, 131.0,  25.3,  52.5,  13.7,  14.6,  30.2,  43.6,   6.3,  12.7, 104.8,  17.0,  35.2,   8.4,   1.1,   1.2
2025120607050101,1,12051956,16,        722,       1757,  21.3,   2.4,   4.7,   7.1,   1.3,   2.1, 115.5,  21.7,  46.8,  13.1,   6.4,  13.4,  41.2,  11.1,  23.7,  10.6,   4.4,   9.1,  13.1,   6.4,  13.4,   6.9,   2.6,   5.0,   5.0,   1.5,   2.7,  19.9,   6.4,  13.4,   5.8,   2.4,   4.7, 144.4,  27.0,  58.3,  13.7,  13.7,  29.5,  38.5,   6.4,  13.4, 115.5,  16.8,  36.2,   9.1,   1.1,   1.2
2025120607050101,1,12052001,16,        796,       1994,  22.7,   2.9,   5.2,   7.7,   1.5,   2.3, 127.3,  24.7,  48.3,  13.5,   7.5,  14.3,  42.4,  11.6,  22.4,   9.9,   3.3,   6.1,  11.5,   2.6,   4.6,   6.3,   2.3,   4.0,   5.5,   1.8,   3.0,  14.1,   7.0,  13.3,   6.3,   2.7,   4.8, 159.2,  33.8,  66.2,  14.1,  16.2,  31.5,  30.3,   7.3,  14.0, 127.3,  21.0,  41.0,   9.7,   1.1,   1.2
2025120607050101,1,12052006,16,        834,       2035,  23.8,   3.0,   5.3,   7.8,   1.5,   2.3, 133.4,  25.7,  49.2,  14.1,   7.4,  13.9,  44.4,  11.6,  22.0,  10.4,   3.3,   5.9,  11.9,   2.7,   4.7,   6.5,   2.3,   4.0,   5.8,   1.8,   3.1,  11.5,   5.2,   9.6,   6.5,   2.8,   4.9, 166.8,  35.1,  67.4,  14.5,  16.8,  32.1,  25.6,   7.2,  13.6, 133.4,  15.1,  28.8,   8.6,   1.1,   1.3
2025120607050101,1,12052011,16,        888,       2091,  25.3,   3.1,   5.5,   8.0,   1.5,   2.3, 142.0,  26.9,  50.4,  15.1,   7.8,  14.3,  39.4,   8.8,  16.3,  10.7,   3.3,   5.8,  10.0,   2.7,   4.7,   5.8,   2.2,   3.8,   6.1,   1.9,   3.1,  12.0,   5.3,   9.7,   6.8,   2.8,   4.9, 177.6,  29.6,  55.4,  14.8,  12.6,  23.5,  25.3,   7.2,  13.3, 118.4,  15.0,  28.1,   8.9,   1.1,   1.3
2025120607050101,1,12052016,16,        943,       2226,  26.9,   3.2,   5.7,   8.4,   1.5,   2.2, 150.8,  25.7,  49.2,  15.7,   7.4,  13.8,  41.9,   8.9,  16.8,  11.4,   3.4,   6.1,  10.1,   2.8,   4.9,   5.5,   2.3,   4.0,   5.9,   1.9,   3.3,  12.1,   5.4,  10.1,   6.1,   2.5,   4.4, 188.6,  28.0,  53.6,  15.7,  13.1,  25.0,  26.9,   7.2,  13.5, 125.7,  14.9,  28.5,   9.2,   1.1,   1.3
2025120607050101,1,12052021,16,       1150,       2280,  10.5,   3.2,   5.7,   7.8,   1.5,   2.2, 131.4,  26.8,  50.4,  17.3,   6.9,  12.8,  41.8,   9.0,  16.8,  12.7,   3.3,   5.8,  10.4,   2.8,   4.9,   6.6,   2.2,   3.8,   7.1,   2.0,   3.3,  12.7,   5.1,   9.3,   6.8,   2.6,   4.5, 153.3,  29.2,  54.9,  18.4,  12.2,  22.8,  30.6,   7.1,  13.0, 102.2,  14.8,  27.8,   6.7,   1.1,   1.3
2025120607050101,1,12052026,16,       1255,       2344,  11.5,   3.3,   5.8,   6.5,   1.5,   2.2, 143.4,  25.8,  47.8,  18.5,   7.2,  13.1,  45.6,   9.2,  16.7,  13.3,   3.2,   5.5,   9.5,   2.8,   4.8,   6.6,   2.1,   3.6,   7.7,   2.0,   3.4,  13.5,   5.1,   9.2,   6.3,   2.6,   4.5, 143.4,  24.0,  44.4,  19.6,  12.3,  22.6,  31.3,   7.4,  13.4, 100.4,  14.2,  26.2,   7.2,   1.1,   1.3
2025120607050101,1,12052031,16,       1322,       2436,  12.0,   3.5,   6.0,   6.4,   1.5,   2.2, 132.2,  25.5,  46.1,  17.9,   7.0,  12.4,  48.0,   8.8,  15.8,  13.9,   3.3,   5.7,   9.9,   2.9,   4.9,   7.0,   2.0,   3.3,   8.1,   2.1,   3.5,  14.2,   5.3,   9.4,   5.8,   2.8,   4.7, 151.0,  23.8,  43.1,  18.8,   9.7,  17.4,  29.3,   5.6,   9.9, 105.7,  15.1,  27.2,   6.7,   1.1,   1.3
2025120607050101,1,12052036,16,       1391,       2505,  12.2,   3.3,   5.7,   6.1,   1.5,   2.2, 101.1,  26.3,  47.5,  18.2,   6.9,  12.3,  48.3,   8.9,  15.8,  14.2,   3.4,   5.8,  10.4,   3.0,   5.0,   7.0,   2.0,   3.2,   8.3,   2.1,   3.5,  13.4,   5.0,   8.7,   6.0,   2.8,   4.7, 123.6,  24.6,  44.3,  17.6,   9.8,  17.4,  29.2,   5.6,   9.9,  92.7,  15.6,  28.0,   6.9,   1.1,   1.4
2025120607050101,1,12052041,16,       1477,       2551,  12.5,   3.4,   5.7,   5.7,   1.5,   2.2,  98.4,  25.4,  45.1,  18.7,   7.2,  12.5,  51.3,   8.8,  15.4,  14.0,   3.4,   5.8,  10.4,   3.0,   5.0,   7.4,   2.0,   3.2,   8.8,   2.2,   3.6,  13.1,   5.1,   8.8,   6.1,   2.6,   4.3, 118.1,  25.4,  45.1,  16.1,   7.4,  12.9,  25.6,   5.7,  10.0,  98.4,  15.4,  27.4,   6.9,   1.2,   1.4
2025120607050101,1,12052046,16,       1703,       2848,  14.4,   3.9,   6.3,   6.3,   1.5,   2.2,  56.7,  16.5,  28.2,  21.2,   8.1,  13.6,  59.2,   9.7,  16.4,  15.1,   3.8,   6.2,  11.9,   3.4,   5.5,   3.8,   1.4,   2.1,  10.1,   2.5,   3.9,  15.1,   5.6,   9.4,   7.0,   2.9,   4.6, 136.2,  29.3,  50.2,  18.6,   8.5,  14.4,  28.9,   6.4,  10.7, 113.5,  17.8,  30.4,   8.0,   1.2,   1.5
2025120607050101,1,12052051,16,       1746,       3061,  14.7,   4.3,   6.7,   6.4,   1.5,   2.2,  58.2,  17.3,  28.3,  21.1,   8.9,  14.4,  55.8,  10.6,  17.3,  15.5,   2.6,   3.9,  12.2,   3.7,   5.8,   3.9,   1.5,   2.2,  10.1,   2.3,   3.5,  15.3,   6.3,  10.1,   7.2,   3.1,   4.9, 139.6,  32.9,  53.9,  19.1,   9.5,  15.4,  23.2,   7.0,  11.2, 116.4,  20.0,  32.7,   7.5,   1.2,   1.5
2025120607050101,1,12052056,16,       1798,       3212,  14.6,   3.6,   5.7,   6.0,   1.5,   2.3,  59.9,  18.0,  29.7,  20.8,   9.0,  14.6,  55.3,  11.1,  18.1,  14.6,   2.5,   3.9,  12.6,   3.8,   6.0,   4.0,   1.5,   2.0,  10.4,   2.4,   3.6,  15.6,   6.2,  10.0,   7.2,   3.0,   4.7, 143.8,  34.4,  56.6,  19.7,   9.9,  16.1,  23.5,   7.1,  11.5, 119.8,  20.8,  34.3,   7.5,   1.2,   1.6
2025120607050101,1,12052101,16,       1974,       3431,  15.7,   3.9,   6.0,   6.2,   1.6,   2.3,  63.1,  19.2,  30.6,  17.7,   7.8,  12.2,  54.4,  11.3,  17.9,  12.7,   2.4,   3.5,  11.6,   3.6,   5.5,   4.3,   1.5,   2.1,  10.8,   2.5,   3.7,  14.1,   5.2,   8.0,   7.1,   3.1,   4.6,  78.9,  35.6,  56.7,  17.5,  10.7,  16.9,  25.8,   7.3,  11.4, 131.6,  21.3,  33.9,   8.0,   1.3,   1.6
2025120607050101,1,12052106,16,       2339,       3744,  16.2,   4.1,   6.2,   5.7,   1.6,   2.2,  71.9,  21.6,  33.4,  19.6,   7.8,  12.0,  55.0,  12.7,  19.5,  14.8,   2.6,   3.8,  13.0,   3.6,   5.4,   4.4,   1.6,   2.3,  12.0,   2.7,   3.9,   7.5,   2.7,   3.9,   8.1,   3.4,   5.0,  93.5,  40.1,  61.9,  20.3,  11.4,  17.5,  28.7,   7.6,  11.6, 155.9,  23.9,  37.0,   8.0,   1.4,   1.7
2025120607050101,1,12052111,16,       2537,       5372,  17.4,   4.6,   8.3,   6.0,   1.7,   2.8,  75.1,  24.0,  44.9,  21.1,   9.1,  16.8,  57.9,  13.9,  25.9,  15.9,   3.0,   5.2,  14.1,   4.2,   7.5,   3.8,   1.8,   3.1,  12.9,   3.1,   5.4,   7.3,   3.1,   5.3,   8.2,   1.1,   1.3,  96.6,  44.7,  83.8,  21.8,  13.0,  24.2,  27.4,   8.6,  15.8, 169.1,  28.3,  53.1,   8.3,   1.5,   2.2
2025120607050101,1,12052116,16,       2659,       5545,  18.1,   4.8,   8.5,   5.4,   1.8,   2.8,  78.7,  23.9,  43.6,  21.7,   7.8,  13.9,  57.4,  14.0,  25.3,  14.7,   3.0,   5.1,  14.7,   4.1,   7.2,   3.8,   1.9,   3.1,  13.5,   3.1,   5.3,   7.4,   2.7,   4.5,   8.5,   1.1,   1.3, 101.2,  47.2,  86.5,  21.2,  10.4,  18.8,  27.6,   8.9,  15.9, 177.2,  28.9,  52.8,   8.6,   1.5,   2.2
2025120607050101,1,12052121,16,       2886,       5961,   9.9,   2.8,   4.5,   5.4,   1.7,   2.6,  79.6,  27.0,  46.9,  22.2,   7.9,  13.5,  56.3,  13.0,  22.4,  15.8,   3.3,   5.5,  15.7,   4.5,   7.5,   4.1,   2.1,   3.3,  13.6,   3.2,   5.3,   8.0,   3.0,   4.8,   9.0,   1.2,   1.4, 100.3,  53.6,  93.0,  21.9,  11.6,  20.0,  26.2,   8.1,  13.7, 164.9,  32.7,  56.8,   8.7,   1.6,   2.4
2025120607050101,1,12052126,16,       2971,       6187,   9.3,   2.8,   4.5,   5.6,   1.8,   2.6,  76.6,  25.8,  43.6,  22.4,   5.7,   9.4,  52.8,  12.8,  21.5,  16.0,   3.5,   5.6,  15.9,   4.7,   7.7,   4.2,   2.2,   3.4,  13.2,   3.3,   5.4,   8.0,   3.0,   4.7,   8.8,   1.2,   1.4, 103.3,  57.0,  96.5,  21.4,   7.1,  11.8,  25.8,   8.6,  14.2, 158.4,  32.5,  55.0,   8.8,   1.7,   2.4
2025120607050101,1,12052131,16,       3238,       6531,   9.8,   3.0,   4.7,   5.9,   1.7,   2.5,  83.5,  26.0,  42.6,  24.4,   6.1,   9.8,  53.9,  13.6,  22.1,  16.6,   2.5,   3.9,  10.2,   5.0,   7.9,   4.6,   2.3,   3.5,   9.0,   3.6,   5.6,   8.7,   3.2,   5.0,   9.1,   1.2,   1.5, 112.6,  62.1, 101.8,  23.3,   7.7,  12.3,  26.9,   8.2,  13.3, 172.6,  34.3,  56.2,   9.3,   1.7,   2.5
2025120607050101,1,12052136,16,       3872,       6645,  11.6,   3.1,   4.7,   6.4,   1.7,   2.5,  96.8,  26.0,  42.2,  26.9,   5.7,   9.0,  64.5,  13.6,  21.9,  18.4,   2.5,   3.8,  12.2,   5.1,   8.0,   4.0,   2.4,   3.6,  10.8,   3.7,   5.7,   9.6,   3.2,   5.0,  10.6,   1.2,   1.5, 134.6,  28.0,  45.4,  27.4,   7.6,  12.1,  30.9,   8.3,  13.2, 193.6,  32.1,  52.0,   5.1,   1.7,   2.5
2025120607050101,1,12052141,16,       4061,       6777,  12.2,   3.2,   4.8,   6.6,   1.8,   2.6, 101.5,  26.2,  42.1,  25.9,   5.9,   9.2,  64.9,  14.0,  22.3,  13.5,   2.4,   3.6,  12.2,   5.1,   8.0,   4.2,   2.4,   3.6,  11.3,   3.8,   5.8,   9.4,   3.0,   4.5,  10.0,   1.2,   1.5, 129.9,  28.8,  46.3,  28.7,   7.8,  12.3,  29.5,   7.9,  12.4, 191.1,  32.1,  51.5,   5.3,   1.8,   2.5
2025120607050101,1,12052146,16,       4209,       6886,  12.3,   3.2,   4.9,   6.4,   1.8,   2.5, 105.2,  26.8,  42.7,  19.0,   5.7,   8.9,  66.0,  14.1,  22.4,  13.9,   2.4,   3.6,  12.6,   4.9,   7.6,   4.3,   2.4,   3.6,  11.6,   3.8,   5.8,   9.7,   3.0,   4.5,  10.0,   1.3,   1.5, 134.6,  29.5,  47.0,  29.5,   7.8,  12.3,  29.5,   7.4,  11.6, 198.0,  32.8,  52.3,   5.2,   1.8,   2.5
2025120607050101,1,12052151,16,       4414,       6971,  12.7,   3.2,   4.9,   6.4,   1.8,   2.5, 100.8,  27.2,  43.3,  18.7,   5.5,   8.5,  50.4,  12.6,  19.8,  13.2,   2.4,   3.6,  12.7,   5.0,   7.6,   4.3,   2.4,   3.6,  11.8,   3.8,   5.7,   9.7,   3.0,   4.6,  10.1,   1.3,   1.5, 141.2,  29.9,  47.6,  30.4,   7.9,  12.3,  30.7,   7.2,  11.3, 160.5,  33.3,  53.0,   5.3,   1.8,   2.6
2025120607050101,1,12052156,16,       4566,       7187,  13.0,   3.3,   5.0,   6.3,   1.8,   2.5, 104.3,  27.5,  43.6,  19.2,   5.6,   8.7,  48.0,  12.3,  19.3,  13.6,   2.4,   3.6,  12.7,   4.9,   7.6,   4.4,   2.4,   3.6,  12.0,   3.8,   5.7,  10.0,   3.1,   4.7,  10.0,   1.3,   1.6, 146.1,  31.0,  49.1,  30.4,   7.5,  11.6,  26.4,   6.7,  10.5, 166.0,  33.5,  53.1,   5.1,   1.7,   2.5
2025120607050101,1,12052201,16,       4691,       7377,  13.3,   3.4,   5.1,   6.5,   1.8,   2.5, 107.2,  28.5,  44.7,  19.6,   5.8,   8.9,  48.7,  12.2,  19.0,  11.3,   2.3,   3.3,  12.5,   4.9,   7.5,   4.5,   2.5,   3.6,  12.1,   3.8,   5.8,  10.3,   3.2,   4.8,   9.6,   1.3,   1.6, 138.9,  30.5,  47.9,  31.2,   7.6,  11.7,  26.9,   6.7,  10.4, 170.5,  34.7,  54.5,   5.2,   1.8,   2.5
2025120607050101,1,12052206,16,       4885,       7718,  13.6,   3.5,   5.2,   6.6,   1.7,   2.4, 111.6,  29.2,  45.8,  17.9,   5.8,   8.9,  48.8,  10.7,  16.7,  10.3,   2.2,   3.3,  12.9,   4.6,   7.0,   4.7,   2.6,   3.8,  12.0,   3.5,   5.2,  10.4,   3.3,   4.9,   9.5,   1.3,   1.6, 139.5,  32.0,  50.2,  30.5,   7.6,  11.7,  27.9,   7.0,  10.7, 177.6,  36.4,  57.0,   5.2,   1.8,   2.6
2025120607050101,1,12052211,16,       5054,       7889,  14.0,   3.5,   5.3,   6.3,   1.6,   2.3, 106.4,  28.4,  44.8,  18.0,   5.8,   8.9,  48.7,  10.8,  16.9,  10.2,   2.2,   3.2,  13.2,   4.7,   7.1,   4.8,   2.6,   3.8,  12.1,   3.5,   5.3,  10.6,   3.2,   4.7,   9.7,   1.3,   1.6, 126.3,  30.4,  47.8,  31.3,   7.4,  11.5,  28.4,   7.1,  10.9, 183.7,  37.0,  58.2,   5.0,   1.8,   2.6
2025120607050101,1,12052216,16,       5602,       8332,  15.5,   3.8,   5.6,   6.6,   1.7,   2.4, 117.9,  28.6,  43.6,  18.9,   5.6,   8.4,  53.3,  11.6,  17.5,  11.1,   2.3,   3.3,  11.1,   4.8,   7.1,   3.7,   2.7,   3.9,  13.1,   3.6,   5.3,  11.7,   2.3,   3.3,  10.6,   1.4,   1.7, 140.0,  32.3,  49.3,  34.2,   7.8,  11.7,  30.2,   7.6,  11.4, 203.7,  40.3,  61.5,   5.4,   1.9,   2.7
